ko_nm,en_nm,Lat,long,Foreign Resident,Total,KO-Chinese
도봉구,Dobong-gu,37.6658609,127.0317674,1777,2269,492
은평구,Eunpyeong-gu,37.6176125,126.9227004,3171,4439,1268
동대문구,Dongdaemun-gu,37.5838012,127.0507003,13720,16512,2792
동작구,Dongjak-gu,37.4965037,126.9443073,7216,13145,5929
금천구,Geumcheon-gu,37.4600969,126.9001546,4311,20263,15952
구로구,Guro-gu,37.4954856,126.858121,7993,34163,26170
종로구,Jongno-gu,37.5990998,126.9861493,8337,10135,1798
강북구,Gangbuk-gu,37.6469954,127.0147158,2558,3765,1207
중랑구,Jungnang-gu,37.5953795,127.0939669,3206,5008,1802
강남구,Gangnam-gu,37.4959854,127.0664091,4260,5021,761
강서구,Gangseo-gu,37.5657617,126.8226561,3856,6599,2743
중구,Jung-gu,37.5579452,126.9941904,7825,9894,2069
강동구,Gangdong-gu,37.5492077,127.1464824,2005,4334,2329
광진구,Gwangjin-gu,37.5481445,127.0857528,9372,15785,6413
마포구,Mapo-gu,37.5622906,126.9087803,10124,11465,1341
서초구,Seocho-gu,37.4769528,127.0378103,3541,4245,704
성북구,Seongbuk-gu,37.606991,127.0232185,10605,11776,1171
노원구,Nowon-gu,37.655264,127.0771201,3692,4312,620
송파구,Songpa-gu,37.5048534,127.1144822,3333,6840,3507
서대문구,Seodaemun-gu,37.5820369,126.9356665,11924,12833,909
양천구,Yangcheon-gu,37.5270616,126.8561534,2104,4023,1919
영등포구,Yeongdeungpo-gu,37.520641,126.9139242,7712,35732,28020
관악구,Gwanak-gu,37.4653993,126.9438071,7236,18030,10794
성동구,Seongdong-gu,37.5506753,127.0409622,5678,8204,2526
용산구,Yongsan-gu,37.5311008,126.9810742,14650,15971,1321
