line,Station_nm,IN_AM,OUT_AM,INOUT_R_AM,IN_LUNCH,OUT_LUNCH,INOUT_R_LUNCH,IN_DINNER,OUT_DINNER,INOUT_R_DINNER,OUT_AM_IN_DINNER_RATIO,IN_AM_OUT_DINNER_RATIO,INOUT_R_NIGHT,OUT_DINNER_IN_NIGHT_RATIO,IN_NIGHT,OUT_NIGHT,06-07 IN,06-07 OUT,07-08 IN,07-08 OUT,08-09 IN,08-09 OUT,09-10 IN,09-10 OUT,11-12 IN,11-12 OUT,12-13 IN,12-13 OUT,13-14 IN,13-14 OUT,16-17 IN,16-17 OUT,17-18 IN,17-18 OUT,18-19 IN,18-19 OUT,19-20 IN,19-20 OUT,20-21 IN,20-21 OUT,21-22 IN,21-22 OUT,22-23 IN,22-23 OUT,23-24 IN,23-24 OUT,00-01 IN,00-01 OUT
1호선,서울역,217772,586573,37.1261548,296380,268834,110.2464718,668638,367825,181.7815537,87.72654261,59.20532862,174.6213772,166.9359487,220339,126181,15684,61286,44585,115354,89357,238583,68146,171350,92022,85227,101383,89704,102975,93903,123612,95981,167329,105879,253795,113369,144348,84947,103166,63630,101273,54836,77000,41500,37939,22083,4127,7762
1호선,신설동,91990,163907,56.12328943,82071,73007,112.4152479,174075,109591,158.8405982,94.15883958,83.93937458,78.10619334,267.2169121,41012,52508,11002,9714,22990,30373,32986,78975,25012,44845,25369,24755,26835,23885,29867,24367,34959,25145,45564,30278,73275,34085,33385,26876,21851,18352,19528,17866,14189,17857,6614,13402,681,3383
1호선,종로5가,35665,280614,12.7096296,153231,209948,72.98521539,340453,127041,267.986713,82.42371194,28.07361403,450.3008362,143.8531134,88313,19612,3415,19150,6140,46654,10238,132023,15872,82787,39106,73872,49898,70185,64227,65891,76603,48341,89000,44294,127195,42015,72829,27388,51429,13344,43705,8823,32254,5928,11544,3661,810,1200
1호선,제기동,102950,133257,77.25672948,136339,182003,74.91030368,162318,109736,147.9168185,82.0962555,93.81606765,79.24989261,371.7470104,29519,37248,10512,10759,26059,22594,37545,50517,28834,49387,39418,56340,45851,60016,51070,65647,64121,40776,57066,35652,55271,33751,30207,25151,19774,15182,14631,13344,9809,12590,4686,9194,393,2120
1호선,동대문,84950,93736,90.62686695,91583,121988,75.07541725,118178,124721,94.75389068,79.31763949,68.11202604,81.17860224,265.121272,47043,57950,12614,9043,19979,17282,26926,33995,25431,33416,26168,41333,30809,40599,34606,40056,34975,32769,35787,32860,35427,32845,25533,33797,21431,25219,19460,19798,16831,18679,9553,14421,1199,5052
1호선,청량리(서울시립대입구),184771,131186,140.8465842,147747,174086,84.87012166,194333,216857,89.61343189,67.50577617,85.20407457,57.59122771,424.3527777,51103,88734,19600,13875,50958,22529,67407,47066,46806,47716,44581,52917,50418,56986,52748,64183,67780,56981,64708,59453,59871,70604,38601,53696,31153,33104,24713,30184,17288,31295,8555,20670,547,6585
1호선,시청,40686,400118,10.16850029,87994,149108,59.01360088,388127,94541,410.538285,103.0894527,43.03529686,517.5357718,79.44822138,118997,22993,4169,24963,8926,74288,11999,207024,15592,93843,25026,50100,28006,45701,34962,53307,63977,30667,84422,32893,166587,32791,75363,18455,61755,10402,62698,9234,40422,7566,14946,4767,931,1426
1호선,종각,41996,603107,6.963275173,137151,214808,63.8481807,630648,212923,296.1859452,95.63290457,19.72356204,983.0664225,72.11275333,295264,30035,4780,33366,7695,108663,12735,295205,16786,165873,34804,74782,43282,68767,59065,71259,94510,53016,142421,61870,247365,79553,127487,49695,113375,21805,136748,13439,106476,9149,48067,5882,3973,1565
1호선,동묘앞,33049,73363,45.04859398,77912,117035,66.57153843,107310,54539,196.7582831,68.36548318,60.59700398,69.17592512,344.8561492,15815,22862,3992,4354,7349,13980,10925,33547,10783,21482,18967,34419,25923,38729,33022,43887,44238,28039,40527,22188,36633,15203,19966,10235,10184,6913,7455,6990,5331,7342,2725,5014,304,3516
1호선,종로3가,41922,240129,17.45811626,173155,278921,62.08030231,404854,178769,226.4676762,59.3124929,23.45037451,577.2322281,98.54907084,181401,31426,4790,16235,7163,33766,12372,88664,17597,101464,43282,93837,57116,92504,72757,92580,99235,59148,104670,57708,128697,63495,96295,40160,75192,17406,82094,12441,66614,9517,29318,6715,3375,2753
